District,BEDSCODE,COUNTY_DESC
ADDISON CSD,570101,STEUBEN
ADIRONDACK CSD,410401,ONEIDA
AFTON CSD,801010,CHENANGO
AKRON CSD,142101,ERIE
ALBANY CITY SD,101000,ALBANY
ALBION CSD,450101,ORLEANS
ALDEN CSD,140101,ERIE
ALEXANDER CSD,180202,GENESEE
ALEXANDRIA CSD,220202,JEFFERSON
ALFRED-ALMOND CSD,201010,ALLEGANY
ALLEGANY-LIMESTONE CSD,403020,CATTARAUGUS
ALTMAR-PARISH-WILLIAMSTOWN CSD,460102,OSWEGO
AMAGANSETT UFSD,580303,SUFFOLK
AMHERST CSD,140201,ERIE
AMITYVILLE UFSD,580106,SUFFOLK
AMSTERDAM CITY SD,270100,MONTGOMERY
ANDES CSD,120102,DELAWARE
ANDOVER CSD,206010,ALLEGANY
ARDSLEY UFSD,660405,WESTCHESTER
ARGYLE CSD,640101,WASHINGTON
ARKPORT CSD,571901,STEUBEN
ARLINGTON CSD,131601,DUTCHESS
ATTICA CSD,670201,WYOMING
AUBURN CITY SD,501000,CAYUGA
AUSABLE VALLEY CSD,902010,CLINTON
AVERILL PARK CSD,491302,RENSSELAER
AVOCA CSD,570201,STEUBEN
AVON CSD,240101,LIVINGSTON
BABYLON UFSD,580101,SUFFOLK
BAINBRIDGE-GUILFORD CSD,802010,CHENANGO
BALDWIN UFSD,280210,NASSAU
BALDWINSVILLE CSD,420901,ONONDAGA
BALLSTON SPA CSD,521301,SARATOGA
BARKER CSD,401301,NIAGARA
BATAVIA CITY SD,180300,GENESEE
BATH CSD,570302,STEUBEN
BAY SHORE UFSD,580501,SUFFOLK
BAYPORT-BLUE POINT UFSD,580505,SUFFOLK
BEACON CITY SD,130200,DUTCHESS
BEAVER RIVER CSD,231301,LEWIS
BEDFORD CSD,660102,WESTCHESTER
BEEKMANTOWN CSD,903010,CLINTON
BELFAST CSD,208010,ALLEGANY
BELLEVILLE-HENDERSON CSD,220909,JEFFERSON
BELLMORE UFSD,280207,NASSAU
BELLMORE-MERRICK CENTRAL HS DISTRICT,280253,NASSAU
BEMUS POINT CSD,610010,CHAUTAUQUA
BERLIN CSD,490101,RENSSELAER
BERNE-KNOX-WESTERLO CSD,102010,ALBANY
BETHLEHEM CSD,103060,ALBANY
BETHPAGE UFSD,280521,NASSAU
BINGHAMTON CITY SD,302000,BROOME
BLIND BROOK-RYE UFSD,661905,WESTCHESTER
BOLIVAR-RICHBURG CSD,229020,ALLEGANY
BOLTON CSD,630101,WARREN
BOQUET VALLEY CSD,151801,ESSEX
BRADFORD CSD,570401,STEUBEN
BRASHER FALLS CSD,510101,SAINT LAWRENCE
BRENTWOOD UFSD,580512,SUFFOLK
BREWSTER CSD,480601,PUTNAM
BRIARCLIFF MANOR UFSD,661402,WESTCHESTER
BRIDGEHAMPTON UFSD,580909,SUFFOLK
BRIGHTON CSD,260101,MONROE
BROADALBIN-PERTH CSD,171102,FULTON
BROCKPORT CSD,261801,MONROE
BROCTON CSD,623010,CHAUTAUQUA
BRONXVILLE UFSD,660303,WESTCHESTER
BROOKFIELD CSD,250109,MADISON
BROOKHAVEN-COMSEWOGUE UFSD,580203,SUFFOLK
BRUNSWICK CSD (BRITTONKILL),490202,RENSSELAER
BRUSHTON-MOIRA CSD,161601,FRANKLIN
BUFFALO CITY SD,140600,ERIE
BURNT HILLS-BALLSTON LAKE CSD,520101,SARATOGA
BYRAM HILLS CSD,661201,WESTCHESTER
BYRON-BERGEN CSD,180701,GENESEE
CAIRO-DURHAM CSD,190301,GREENE
CALEDONIA-MUMFORD CSD,240201,LIVINGSTON
CAMBRIDGE CSD,641610,WASHINGTON
CAMDEN CSD,410601,ONEIDA
CAMPBELL-SAVONA CSD,570603,STEUBEN
CANAJOHARIE CSD,270301,MONTGOMERY
CANANDAIGUA CITY SD,430300,ONTARIO
CANASERAGA CSD,211020,ALLEGANY
CANASTOTA CSD,250901,MADISON
CANDOR CSD,600301,TIOGA
CANISTEO-GREENWOOD CSD,571502,STEUBEN
CANTON CSD,510201,SAINT LAWRENCE
CARLE PLACE UFSD,280411,NASSAU
CARMEL CSD,480102,PUTNAM
CARTHAGE CSD,222201,JEFFERSON
CASSADAGA VALLEY CSD,604010,CHAUTAUQUA
CATO-MERIDIAN CSD,504010,CAYUGA
CATSKILL CSD,190401,GREENE
CATTARAUGUS-LITTLE VALLEY CSD,423020,CATTARAUGUS
CAZENOVIA CSD,250201,MADISON
CENTER MORICHES UFSD,580233,SUFFOLK
CENTRAL ISLIP UFSD,580513,SUFFOLK
CENTRAL SQUARE CSD,460801,OSWEGO
CENTRAL VALLEY CSD AT ILION-MOHAWK,212101,HERKIMER
CHAPPAQUA CSD,661004,WESTCHESTER
CHARLOTTE VALLEY CSD,120401,DELAWARE
CHATEAUGAY CSD,160801,FRANKLIN
CHATHAM CSD,101001,COLUMBIA
CHAUTAUQUA LAKE CSD,605030,CHAUTAUQUA
CHAZY UFSD,906010,CLINTON
CHEEKTOWAGA CSD,140701,ERIE
CHEEKTOWAGA-MARYVALE UFSD,140702,ERIE
CHEEKTOWAGA-SLOAN UFSD,140709,ERIE
CHENANGO FORKS CSD,301010,BROOME
CHENANGO VALLEY CSD,307010,BROOME
CHERRY VALLEY-SPRINGFIELD CSD,472202,OTSEGO
CHESTER UFSD,440201,ORANGE
CHITTENANGO CSD,251601,MADISON
CHURCHVILLE-CHILI CSD,261501,MONROE
CINCINNATUS CSD,110101,CORTLAND
CLARENCE CSD,140801,ERIE
CLARKSTOWN CSD,500101,ROCKLAND
CLEVELAND HILL UFSD,140703,ERIE
CLIFTON-FINE CSD,510401,SAINT LAWRENCE
CLINTON CSD,411101,ONEIDA
CLYDE-SAVANNAH CSD,650301,WAYNE
CLYMER CSD,607010,CHAUTAUQUA
COBLESKILL-RICHMONDVILLE CSD,541102,SCHOHARIE
COHOES CITY SD,105000,ALBANY
COLD SPRING HARBOR CSD,580402,SUFFOLK
COLTON-PIERREPONT CSD,510501,SAINT LAWRENCE
COMMACK UFSD,580410,SUFFOLK
CONNETQUOT CSD,580507,SUFFOLK
COOPERSTOWN CSD,471701,OTSEGO
COPENHAGEN CSD,230201,LEWIS
COPIAGUE UFSD,580105,SUFFOLK
CORINTH CSD,520401,SARATOGA
CORNING CITY SD,571000,STEUBEN
CORNWALL CSD,440301,ORANGE
CORTLAND CITY SD,110200,CORTLAND
COXSACKIE-ATHENS CSD,190501,GREENE
CROTON-HARMON UFSD,660202,WESTCHESTER
CROWN POINT CSD,150203,ESSEX
CUBA-RUSHFORD CSD,223020,ALLEGANY
DALTON-NUNDA CSD (KESHEQUA),241101,LIVINGSTON
DANSVILLE CSD,241001,LIVINGSTON
DEER PARK UFSD,580107,SUFFOLK
DELAWARE ACADEMY CSD AT DELHI,120501,DELAWARE
DEPEW UFSD,140707,ERIE
DEPOSIT CSD,313010,DELAWARE
DERUYTER CSD,250301,MADISON
DOBBS FERRY UFSD,660403,WESTCHESTER
DOLGEVILLE CSD,211003,HERKIMER
DOVER UFSD,130502,DUTCHESS
DOWNSVILLE CSD,120301,DELAWARE
DRYDEN CSD,610301,TOMPKINS
DUANESBURG CSD,530101,SCHENECTADY
DUNDEE CSD,680801,YATES
DUNKIRK CITY SD,608000,CHAUTAUQUA
EAST AURORA UFSD,140301,ERIE
EAST BLOOMFIELD CSD,430501,ONTARIO
EAST GREENBUSH CSD,490301,RENSSELAER
EAST HAMPTON UFSD,580301,SUFFOLK
EAST IRONDEQUOIT CSD,260801,MONROE
EAST ISLIP UFSD,580503,SUFFOLK
EAST MEADOW UFSD,280203,NASSAU
EAST MORICHES UFSD,580234,SUFFOLK
EAST QUOGUE UFSD,580917,SUFFOLK
EAST RAMAPO CSD (SPRING VALLEY),500402,ROCKLAND
EAST ROCHESTER UFSD,261313,MONROE
EAST ROCKAWAY UFSD,280219,NASSAU
EAST SYRACUSE MINOA CSD,420401,ONONDAGA
